angle,window_0,window_1,window_2,window_3,window_4,window_5,window_6,window_7,window_8,window_9,window_10,window_11,window_12,window_13,window_14,window_15,window_16,window_17,window_18,window_19,window_20,window_21,window_22,window_23,window_24,window_25,window_26,window_27,window_28,window_29,window_30,window_31,window_32,window_33,window_34,window_35,window_36,window_37,window_38,window_39,window_40,window_41,window_42,window_43,window_44,window_45,window_46,window_47,window_48,window_49,window_50,window_51,window_52,window_53,window_54,window_55,window_56,window_57,window_58,window_59,window_60,window_61,window_62,window_63,window_64,window_65,window_66,window_67,window_68,window_69,window_70,window_71,window_72,window_73,window_74,window_75,window_76,window_77,window_78,window_79
10,0.01058726,0.0103886,0.0103747165,0.010363598,0.010350608,0.010245609,0.010333393,0.010763884,0.010915477,0.010819548,0.010699919,0.010660915,0.010660394,0.010628012,0.010505142,0.011209277,0.011256331,0.011805326,0.013065432,0.014145073,0.015269407,0.016497947,0.018055666,0.025268685,0.03633051,0.05182229,0.084033504,0.17221947,0.3080138,0.4369455,0.47527096,0.3804697,0.21365292,0.08304962,0.039655358,0.035189655,0.03475468,0.035577502,0.040680386,0.04428722,0.040623516,0.03540678,0.027239338,0.019418916,0.01610097,0.014657843,0.015333962,0.01626706,0.016808065,0.017190587,0.017462812,0.017681863,0.017902253,0.018025955,0.018128127,0.018381799,0.018899031,0.019799786,0.02022107,0.020533867,0.022559326,0.025095439,0.028105892,0.02727254,0.023758925,0.020081855,0.01787001,0.017339524,0.016200898,0.014618297,0.013515246,0.012855731,0.012277311,0.011810133,0.011435912,0.011102367,0.010787678,0.010495519,0.010194703,0.010014583
11,0.009709518,0.009530281,0.00954053,0.009534181,0.00952481,0.009442222,0.009465289,0.00988687,0.010030845,0.009937713,0.0098204315,0.009786461,0.009792046,0.009774198,0.009738524,0.010450013,0.010491584,0.011092021,0.012314437,0.013339834,0.0143681,0.015467443,0.017108185,0.024240244,0.035485763,0.05112562,0.08237946,0.17276374,0.30889955,0.43654868,0.4736579,0.3735545,0.20353244,0.07810104,0.039349575,0.034355115,0.033207845,0.033767313,0.038032737,0.0411325,0.03772754,0.03222669,0.024234712,0.01670028,0.013624372,0.013462717,0.0146231605,0.015847903,0.016560543,0.017075894,0.0174806,0.01782541,0.01816894,0.018420167,0.018627563,0.018891744,0.019377586,0.020261573,0.020779705,0.02128131,0.023254814,0.025576146,0.028294787,0.027702285,0.02531566,0.022256743,0.019310966,0.018386591,0.016875193,0.014968127,0.013719715,0.01312634,0.012618362,0.012172922,0.011848907,0.011544286,0.011265445,0.011016509,0.010647106,0.010303656
12,0.010310188,0.010099055,0.010117525,0.010113856,0.010105976,0.01002679,0.01002394,0.010578451,0.010788719,0.010664832,0.01050396,0.010460722,0.010449696,0.010396509,0.010316938,0.011180297,0.011234096,0.011884695,0.013279148,0.014429752,0.01552319,0.016597865,0.018170115,0.02458316,0.03495772,0.049248148,0.0803369,0.17047623,0.30664632,0.43440095,0.47028893,0.3656554,0.19504236,0.07403993,0.038352046,0.03506307,0.034189902,0.034267858,0.03845419,0.0410902,0.037339333,0.030299481,0.02158274,0.014083524,0.010855677,0.011278729,0.012826384,0.014105719,0.014855326,0.0154382605,0.015888782,0.016275574,0.016638804,0.016886141,0.017061437,0.01748166,0.018281728,0.019295428,0.019743707,0.019967783,0.022033976,0.024633843,0.027705258,0.027106853,0.02415369,0.020723023,0.018262925,0.017667077,0.016373182,0.014674004,0.01357845,0.012949867,0.01236661,0.011937293,0.011547802,0.011224844,0.011000141,0.010800528,0.010513942,0.010423587
13,0.010051293,0.009853294,0.009859249,0.009853561,0.00984336,0.009753981,0.009830961,0.010318924,0.01048258,0.0103721265,0.0102275545,0.01018072,0.010175753,0.010135818,0.010037129,0.010814864,0.010881702,0.011515752,0.0128446035,0.013935582,0.014993544,0.01606756,0.017214134,0.023813216,0.03424029,0.048146773,0.07870892,0.16426106,0.29846364,0.42572126,0.46241304,0.35846683,0.18701528,0.069934815,0.035870045,0.032661375,0.03179308,0.032201666,0.03633438,0.039395787,0.03604738,0.030514356,0.022882836,0.015765376,0.012611679,0.012090742,0.013251201,0.014422731,0.015120197,0.015644455,0.01604991,0.016385742,0.016702304,0.01689468,0.017021162,0.017403426,0.018008782,0.018992111,0.019589297,0.02001415,0.022078501,0.024621705,0.027663501,0.027045367,0.02384837,0.020285327,0.01780194,0.017253185,0.015999606,0.014255676,0.013090325,0.012408111,0.011778415,0.01128518,0.010868894,0.010509896,0.01018825,0.009886477,0.009520269,0.009293082
14,0.010657991,0.010908835,0.010918242,0.010901659,0.010886989,0.010805236,0.010876098,0.011016584,0.011132852,0.011053285,0.010898283,0.010887141,0.010928987,0.010913854,0.010792814,0.011979811,0.012354739,0.012641093,0.01379949,0.014844781,0.015917003,0.01692826,0.018609026,0.026045555,0.038003705,0.054979093,0.0883702,0.18178892,0.32190657,0.45223936,0.48861712,0.3788253,0.19611715,0.07202702,0.039453458,0.037460458,0.037748154,0.03894945,0.04264712,0.043489687,0.03859571,0.031754185,0.024097594,0.015416076,0.011026977,0.01091404,0.012746543,0.014149643,0.014930228,0.015476599,0.015888246,0.016293535,0.01677707,0.017195284,0.017724391,0.018485928,0.019450184,0.0205869,0.021198995,0.022113642,0.024372183,0.027010249,0.029943816,0.029686805,0.027698278,0.024706526,0.021247812,0.01998843,0.018098252,0.015829314,0.014747008,0.0141566,0.0136521375,0.013211824,0.012889977,0.012592645,0.01232463,0.01207212,0.011713122,0.011413075
15,0.0101494575,0.010153542,0.010187413,0.010184485,0.010175955,0.010093339,0.010106356,0.010606594,0.010828828,0.010715771,0.0105399825,0.010492086,0.010488061,0.010441511,0.010370011,0.011361313,0.011564092,0.012189532,0.013448421,0.01444497,0.015333711,0.016123949,0.017492361,0.023716046,0.034253456,0.04842586,0.079130605,0.16790286,0.30063608,0.42390653,0.45699626,0.3511603,0.17901856,0.065867886,0.035670254,0.03320036,0.032798376,0.033689886,0.036953352,0.03870725,0.0347474,0.028159903,0.020111999,0.013209549,0.009741068,0.01009003,0.012088442,0.013413928,0.014126881,0.014653333,0.015047961,0.0153739825,0.01570111,0.01598112,0.016336009,0.01692536,0.017744426,0.018786572,0.019246362,0.01945512,0.021154167,0.023270711,0.02608686,0.025826078,0.023666672,0.02068308,0.01801638,0.017237527,0.015808474,0.013999008,0.012904821,0.012455734,0.012032075,0.011656601,0.011376804,0.011127528,0.010902431,0.010695171,0.010411879,0.010251977
16,0.010495996,0.0103375735,0.010319309,0.010300585,0.010286315,0.010209878,0.010243741,0.010329165,0.010380418,0.010307668,0.010211498,0.01021637,0.010284455,0.010330532,0.0102907345,0.01121737,0.011475597,0.011682824,0.012813508,0.013975164,0.015372257,0.017077481,0.019019293,0.027165454,0.0393645,0.05562556,0.08581413,0.17455411,0.30512848,0.42684206,0.46752402,0.37900963,0.21305025,0.08426879,0.040512,0.03523174,0.03424008,0.035359852,0.039968446,0.04303306,0.040491246,0.033432174,0.024448067,0.016749194,0.014298801,0.0149614755,0.015861562,0.017062275,0.017781654,0.018275047,0.018650698,0.01895796,0.019251427,0.01940855,0.019576373,0.02008898,0.020905614,0.021943502,0.022640372,0.0235466,0.025765378,0.028175056,0.030775348,0.029649202,0.026376603,0.022760818,0.019854615,0.018917004,0.017201824,0.014970217,0.013535692,0.012873963,0.012324784,0.011844858,0.01147723,0.011138776,0.01083613,0.010573522,0.010208461,0.009899621
17,0.010549329,0.0105024595,0.010488267,0.010471355,0.010456322,0.010369681,0.010446102,0.010632299,0.010752837,0.010685119,0.010557787,0.010549289,0.010600935,0.010607996,0.01045692,0.011546143,0.012006003,0.012258742,0.013382791,0.014479369,0.015801061,0.017378857,0.019620702,0.027619174,0.040301926,0.056389775,0.09111841,0.18474089,0.32249898,0.44816208,0.48799825,0.38575268,0.20711485,0.07910803,0.03994119,0.038022283,0.036876053,0.037873905,0.041785736,0.04461592,0.04146656,0.03493142,0.025815994,0.017000234,0.013597924,0.014365302,0.015694305,0.016782867,0.017325351,0.017666822,0.017906308,0.01809562,0.018332036,0.018577132,0.019127568,0.01982349,0.020675864,0.021760935,0.022439795,0.023048487,0.024879526,0.027076868,0.029848363,0.029410886,0.026763296,0.02330254,0.020119438,0.019078966,0.01721708,0.014928321,0.013651495,0.0130541045,0.012475523,0.011956935,0.011564147,0.011225305,0.010911687,0.010646072,0.010327471,0.010285459
18,0.009357194,0.0092156315,0.009211703,0.0092003085,0.009190506,0.009122976,0.009156366,0.009412164,0.009509657,0.009428088,0.009333225,0.009313502,0.009332136,0.009331534,0.0093106115,0.010027251,0.010084844,0.010512793,0.011639917,0.012670873,0.013767055,0.01502661,0.016798005,0.023472838,0.033836376,0.047762375,0.076023504,0.15844291,0.28302106,0.39913234,0.4315696,0.34725353,0.19655055,0.07787877,0.03751363,0.032193918,0.030967211,0.031956486,0.0368007,0.03952144,0.03606558,0.030834695,0.023251444,0.01581902,0.01214901,0.012292419,0.013221644,0.014314748,0.014976963,0.015471654,0.015872417,0.016221132,0.01656195,0.016780643,0.016847609,0.01704256,0.017612478,0.018544165,0.019071871,0.019619374,0.021786116,0.024420287,0.027234575,0.026464157,0.02387378,0.020840045,0.018099401,0.017308794,0.016009947,0.014302918,0.013124895,0.012470512,0.011928612,0.011524731,0.011237382,0.010945098,0.010682704,0.010455298,0.010120365,0.009803905
19,0.010110853,0.009896341,0.009902423,0.009896235,0.00988845,0.009816792,0.009837931,0.010352023,0.010534914,0.010429386,0.010294724,0.010258501,0.01026094,0.010236103,0.010208031,0.010944296,0.010968201,0.011733016,0.013145173,0.014296601,0.015367677,0.016453965,0.018132672,0.023476446,0.03256379,0.044710185,0.0722804,0.1555125,0.28312746,0.39994952,0.4307402,0.33443928,0.18004227,0.07100187,0.037390128,0.033037014,0.03159652,0.031428915,0.034389094,0.03670245,0.033379674,0.027218143,0.020493533,0.013598721,0.010128055,0.010346215,0.011331476,0.012347181,0.0129317045,0.0133533785,0.013659033,0.013909528,0.014206278,0.014516334,0.015055545,0.015819252,0.016731886,0.017848425,0.018404095,0.018755116,0.0207993,0.023480382,0.026592117,0.026132954,0.02324841,0.019729488,0.017048966,0.01642071,0.01497713,0.013180236,0.0122094555,0.011760496,0.011338207,0.010996246,0.010744508,0.010515386,0.010300855,0.0100952685,0.009795886,0.009624789
