angle,window_0,window_1,window_2,window_3,window_4,window_5,window_6,window_7,window_8,window_9,window_10,window_11,window_12,window_13,window_14,window_15,window_16,window_17,window_18,window_19,window_20,window_21,window_22,window_23,window_24,window_25,window_26,window_27,window_28,window_29,window_30,window_31,window_32,window_33,window_34,window_35,window_36,window_37,window_38,window_39,window_40,window_41,window_42,window_43,window_44,window_45,window_46,window_47,window_48,window_49,window_50,window_51,window_52,window_53,window_54,window_55,window_56,window_57,window_58,window_59,window_60,window_61,window_62,window_63,window_64,window_65,window_66,window_67,window_68,window_69,window_70,window_71,window_72,window_73,window_74,window_75,window_76,window_77,window_78,window_79
10,0.061977994,0.058936007,0.058704875,0.058702428,0.058693685,0.058369648,0.055629343,0.059380926,0.05904548,0.05897053,0.060404953,0.061806284,0.06335142,0.064924076,0.06683287,0.06176203,0.050865993,0.03442423,0.030764895,0.027204517,0.023832811,0.02603862,0.037231892,0.056224905,0.08107651,0.10002023,0.102607764,0.1059434,0.15266366,0.2540449,0.34991017,0.40986055,0.40575236,0.33643046,0.25473678,0.19348678,0.16035227,0.13272457,0.09598336,0.06318856,0.057410087,0.04667209,0.03153203,0.021717282,0.020866882,0.021931106,0.020997142,0.021137295,0.022809507,0.025584491,0.02900604,0.03287671,0.036154367,0.038455687,0.039639007,0.04050683,0.041198008,0.042334087,0.04205174,0.04144259,0.04410129,0.04703887,0.048498068,0.043629378,0.03591569,0.031510357,0.02890468,0.02923088,0.029861918,0.029970028,0.029809078,0.029945673,0.030149013,0.030615171,0.03125775,0.031683676,0.032145355,0.032825828,0.03341228,0.033652686
11,0.06335681,0.059559975,0.05932977,0.059330188,0.059323918,0.05898478,0.05598184,0.059868336,0.05959889,0.059462,0.060966868,0.06246095,0.06407955,0.06542863,0.067091994,0.06243175,0.051060908,0.03435651,0.030682763,0.027314875,0.023763562,0.025630636,0.03652739,0.054612502,0.077919595,0.09635419,0.10102106,0.10680146,0.15495943,0.24769366,0.33844438,0.39792788,0.39593366,0.33034134,0.25164083,0.1931062,0.16111131,0.1336674,0.09705312,0.06422908,0.058204968,0.04715223,0.031640086,0.021652255,0.020541111,0.021357473,0.020445509,0.020627964,0.022377402,0.025313469,0.028895494,0.032844298,0.03609977,0.038387835,0.039656352,0.04057448,0.041335408,0.042467803,0.04212073,0.041089386,0.043504905,0.046458706,0.04793598,0.043065555,0.03565672,0.031451557,0.028840309,0.02918486,0.029827148,0.029979153,0.029881543,0.030087309,0.030358832,0.030917656,0.03164136,0.03216927,0.03274392,0.033487227,0.034101814,0.03427258
12,0.064826034,0.06267901,0.062437605,0.06243266,0.062419884,0.062071864,0.05974539,0.06304331,0.06258074,0.062606476,0.06404063,0.06550943,0.06722585,0.06881591,0.0704547,0.06548393,0.053541444,0.036274433,0.03213032,0.02848483,0.024807641,0.026644403,0.03739132,0.05545892,0.07888198,0.09694101,0.10061153,0.107074775,0.15759775,0.25225395,0.34175006,0.3977624,0.39297414,0.32521424,0.24545592,0.18848148,0.15835893,0.13062702,0.09407686,0.06119584,0.05454325,0.0437472,0.029735057,0.020862972,0.019907955,0.020763434,0.019930141,0.020129833,0.021961767,0.024826359,0.028081123,0.031419396,0.033892076,0.035553582,0.036556136,0.03749127,0.03842493,0.039767608,0.03972331,0.039173737,0.04176766,0.044926282,0.04664927,0.040775992,0.032810517,0.029042654,0.02679176,0.027225727,0.027844938,0.027971242,0.02795721,0.02824811,0.028606832,0.02917415,0.029923353,0.030493895,0.03109824,0.03186294,0.032518934,0.032824136
13,0.066035226,0.06367592,0.06342408,0.06338892,0.06337679,0.06303127,0.06023209,0.063579276,0.063060015,0.06305828,0.06467131,0.06632357,0.06823543,0.07005136,0.071779266,0.06626523,0.05427479,0.036608674,0.032216772,0.028463515,0.024541913,0.026163118,0.036560055,0.053754408,0.07627034,0.09414939,0.09896903,0.10727456,0.15840918,0.24820566,0.33284354,0.3874419,0.38465762,0.3191075,0.24183433,0.18712646,0.15817887,0.13037062,0.094437286,0.06160006,0.05425874,0.04321188,0.029097414,0.020385273,0.019421265,0.020216051,0.019397667,0.019607937,0.021445286,0.024312628,0.027487187,0.03064394,0.032925993,0.034340564,0.035170134,0.036049023,0.037036695,0.03840593,0.038484976,0.038270656,0.040758558,0.043691047,0.04543016,0.039478112,0.031825174,0.028271828,0.026024563,0.026317867,0.026810482,0.026940914,0.026950875,0.027194526,0.027499082,0.028018737,0.02872841,0.029276326,0.029866679,0.030621082,0.031275004,0.03162886
14,0.066137165,0.0633077,0.06304998,0.06304584,0.06303729,0.06269326,0.059844423,0.06364805,0.06329524,0.06328818,0.06493253,0.06654132,0.06842405,0.070326805,0.07236299,0.06597964,0.053385723,0.035782486,0.031518586,0.027932461,0.024053102,0.025508337,0.035668515,0.052629057,0.07497661,0.09297789,0.09841531,0.10669146,0.15794499,0.24390976,0.32823956,0.38465953,0.38212037,0.31797472,0.24149522,0.187005,0.15802276,0.13017564,0.0946309,0.061756775,0.054548033,0.04317748,0.02883766,0.020153733,0.019157693,0.019963974,0.019242395,0.019616397,0.021392724,0.024144135,0.027062334,0.030021856,0.032071196,0.03330234,0.034038592,0.034984756,0.036052823,0.0374633,0.037368525,0.036599774,0.03898355,0.041892465,0.043316662,0.03805792,0.030701322,0.027245406,0.02509953,0.025405234,0.025885697,0.02603756,0.026099196,0.026370108,0.02670353,0.027243396,0.02797412,0.02855095,0.029163087,0.029936647,0.03058508,0.030904809
15,0.066371284,0.06350625,0.06325847,0.063249454,0.06323769,0.06289564,0.06011419,0.06410264,0.06387863,0.063871734,0.06548387,0.0671217,0.06895368,0.07060586,0.072730325,0.067542925,0.054635614,0.036405187,0.03193974,0.027846234,0.023751326,0.025118254,0.035305332,0.052369118,0.07478519,0.092297316,0.097304404,0.10537713,0.15615325,0.23975068,0.32001224,0.37384593,0.3729384,0.31106323,0.23693186,0.18445483,0.15712872,0.13040164,0.09584092,0.06251993,0.054733247,0.04337138,0.029042332,0.020233428,0.019228347,0.020006416,0.019151313,0.01939861,0.021225385,0.024122044,0.02721723,0.030137781,0.032204192,0.033472564,0.034244448,0.035043377,0.03595814,0.037247952,0.037493993,0.03808592,0.04031283,0.043338377,0.045246035,0.039078407,0.031275507,0.027572602,0.025379278,0.025674291,0.026167093,0.026253406,0.026212666,0.0263562,0.026529666,0.02693432,0.027594566,0.028097674,0.028620873,0.02932018,0.029917622,0.03028376
16,0.06499603,0.06305296,0.0628255,0.06283899,0.06281942,0.062361635,0.060452413,0.06344382,0.062884286,0.06284586,0.06406518,0.065366864,0.06687203,0.06806032,0.06993009,0.065345496,0.052925497,0.035027463,0.030654507,0.026605343,0.022380784,0.02363693,0.033495285,0.050318547,0.0721837,0.08980197,0.09594593,0.104477815,0.15613005,0.23735826,0.31816185,0.37326992,0.3716172,0.30959755,0.23585536,0.18342403,0.1558661,0.12890756,0.093993455,0.060986843,0.05401574,0.04245952,0.028179457,0.019606931,0.018582096,0.019381126,0.018681534,0.019191775,0.020982508,0.023510687,0.026140463,0.028730048,0.030595055,0.031785537,0.032535825,0.033394177,0.03435339,0.035657495,0.03573566,0.035329457,0.037696645,0.04064447,0.04224652,0.03697515,0.029422157,0.025633179,0.0233354,0.023720914,0.024396295,0.024715083,0.024910755,0.025290415,0.025689352,0.026250597,0.026977107,0.027525648,0.028097061,0.028839841,0.029486043,0.02996093
17,0.064730756,0.06262357,0.06239974,0.062413782,0.062397957,0.061971046,0.059869483,0.06330551,0.062984005,0.063011855,0.06431956,0.06562269,0.06716964,0.068604514,0.07035626,0.065397084,0.052961975,0.035049114,0.03075589,0.026616847,0.022354707,0.023602244,0.033688392,0.050288584,0.071730465,0.089093894,0.095185176,0.104225524,0.15563743,0.23840994,0.3186729,0.3722206,0.37116134,0.30907008,0.23503827,0.182468,0.1552177,0.12812574,0.09285641,0.05940474,0.05179723,0.040869623,0.027396465,0.019065144,0.018112492,0.018906849,0.018251637,0.018802034,0.02060353,0.023077667,0.02560242,0.028067006,0.029828096,0.030915422,0.031601015,0.032412227,0.033338495,0.034637295,0.03491618,0.035184573,0.0373987,0.040370964,0.042308953,0.036445484,0.028830996,0.02506039,0.022807665,0.023169369,0.023787586,0.024069045,0.024206368,0.024517933,0.024862193,0.025386546,0.026084894,0.026607104,0.027148973,0.027860358,0.028489888,0.028991673
18,0.064209506,0.062486332,0.062264238,0.062284794,0.062268447,0.061834507,0.059814572,0.06325532,0.06292958,0.06299278,0.06430068,0.06559205,0.06706237,0.06837503,0.06995233,0.06511899,0.05291593,0.035044327,0.030783439,0.026467014,0.02221384,0.023560077,0.033956148,0.05074189,0.07225106,0.08907291,0.0947341,0.10327436,0.15336262,0.23403452,0.3120532,0.36412486,0.3638697,0.30540314,0.23362303,0.18202408,0.15508868,0.12803379,0.09286723,0.059351385,0.051525082,0.040887374,0.02753241,0.019176943,0.018251363,0.019082244,0.018422771,0.01895671,0.02077164,0.023239275,0.025684401,0.028090589,0.029873788,0.031106524,0.03190386,0.03267287,0.033524252,0.03475768,0.03504554,0.035711475,0.03773712,0.040793207,0.042854257,0.036931336,0.029250871,0.025484921,0.023170942,0.023477616,0.024053384,0.024284292,0.024397679,0.02470124,0.025029188,0.025538119,0.026224365,0.0267115,0.027214603,0.027901635,0.028486697,0.028934976
19,0.06385938,0.061395757,0.061145283,0.06112404,0.06111348,0.060768027,0.058009647,0.06142723,0.061086666,0.061036374,0.062628046,0.06418089,0.06590518,0.06740366,0.06926709,0.06351363,0.051579006,0.033969976,0.029856788,0.025959304,0.021638114,0.022755858,0.03274813,0.04891234,0.06982664,0.086787455,0.093219586,0.10135233,0.15247716,0.22910805,0.30681527,0.36291248,0.36424673,0.30536038,0.2338348,0.18262058,0.15500352,0.12843382,0.09462188,0.06151654,0.053156648,0.04171571,0.02773153,0.019025711,0.01804153,0.018937549,0.018334476,0.018841363,0.020613808,0.023117447,0.02565842,0.028118325,0.029791884,0.030817898,0.031527217,0.032436114,0.033444446,0.03482296,0.03515633,0.034938265,0.03732392,0.040317934,0.042375557,0.036842003,0.029410465,0.025856504,0.02343719,0.023599429,0.024065599,0.024275282,0.024383988,0.024651984,0.02497015,0.025490493,0.026190333,0.026698615,0.027228871,0.027945286,0.028559808,0.029078377
